j0; j1; cos(j0); cos(j1); sin(j0); sin(j1); ee_x; ee_y; ee_qw; ee_qz
-0.068; -0.100;  0.998;  0.995; -0.068; -0.100;  0.208; -0.025;  0.996; -0.084
-0.095; -0.140;  0.996;  0.990; -0.095; -0.139;  0.207; -0.035;  0.993; -0.117
-0.170; -0.228;  0.986;  0.974; -0.169; -0.226;  0.200; -0.060;  0.980; -0.198
-0.306; -0.350;  0.953;  0.939; -0.301; -0.343;  0.183; -0.097;  0.947; -0.322
-0.440; -0.471;  0.905;  0.891; -0.426; -0.454;  0.158; -0.129;  0.898; -0.440
-0.562; -0.588;  0.846;  0.832; -0.533; -0.555;  0.130; -0.154;  0.839; -0.544
-0.691; -0.692;  0.771;  0.770; -0.637; -0.638;  0.098; -0.172;  0.770; -0.638
-0.807; -0.738;  0.692;  0.740; -0.722; -0.673;  0.072; -0.182;  0.716; -0.698
-0.961; -0.757;  0.573;  0.727; -0.820; -0.687;  0.041; -0.191;  0.653; -0.757
-1.132; -0.750;  0.425;  0.732; -0.905; -0.682;  0.009; -0.195;  0.589; -0.808
-1.310; -0.727;  0.258;  0.747; -0.966; -0.664; -0.024; -0.195;  0.525; -0.851
-1.511; -0.739;  0.060;  0.739; -0.998; -0.674; -0.063; -0.185;  0.431; -0.902
-1.704; -0.776; -0.133;  0.714; -0.991; -0.700; -0.100; -0.167;  0.325; -0.946
-1.879; -0.797; -0.303;  0.699; -0.953; -0.715; -0.129; -0.145;  0.231; -0.973
-2.042; -0.842; -0.454;  0.666; -0.891; -0.746; -0.152; -0.117;  0.129; -0.992
-2.209; -0.927; -0.596;  0.600; -0.803; -0.800; -0.170; -0.081;  0.003; -1.000
-2.413; -1.000; -0.746;  0.540; -0.666; -0.842; -0.181; -0.037; -0.135; -0.991
-2.624; -1.034; -0.869;  0.512; -0.495; -0.859; -0.183;  0.005; -0.255; -0.967
-2.855; -1.078; -0.959;  0.474; -0.282; -0.881; -0.173;  0.050; -0.385; -0.923
-3.141; -1.149; -1.000;  0.410; -0.001; -0.912; -0.145;  0.100; -0.543; -0.840
-3.233; -1.181; -0.996;  0.380;  0.091; -0.925; -0.131;  0.115; -0.597; -0.803
-3.210; -1.169; -0.998;  0.391;  0.068; -0.920; -0.136;  0.111; -0.581; -0.814
-3.157; -1.140; -1.000;  0.417;  0.015; -0.909; -0.144;  0.102; -0.546; -0.838
-3.093; -1.077; -0.999;  0.474; -0.049; -0.880; -0.157;  0.089; -0.492; -0.871
-3.056; -1.011; -0.996;  0.531; -0.086; -0.847; -0.166;  0.079; -0.446; -0.895
-3.031; -1.001; -0.994;  0.540; -0.110; -0.842; -0.169;  0.075; -0.431; -0.902
-3.036; -0.986; -0.994;  0.552; -0.105; -0.834; -0.169;  0.074; -0.426; -0.905
-3.076; -0.959; -0.998;  0.574; -0.065; -0.819; -0.169;  0.079; -0.432; -0.902
-3.102; -0.923; -0.999;  0.603; -0.040; -0.798; -0.170;  0.081; -0.427; -0.904
-3.144; -0.864; -1.000;  0.649;  0.002; -0.760; -0.171;  0.084; -0.420; -0.908
-3.164; -0.781; -1.000;  0.710;  0.022; -0.704; -0.176;  0.082; -0.392; -0.920
-3.158; -0.687; -1.000;  0.773;  0.016; -0.634; -0.184;  0.073; -0.345; -0.939
-3.151; -0.603; -1.000;  0.823;  0.010; -0.567; -0.190;  0.064; -0.302; -0.953
-3.147; -0.498; -1.000;  0.878;  0.005; -0.478; -0.196;  0.054; -0.249; -0.968
-3.144; -0.355; -1.000;  0.938;  0.003; -0.348; -0.203;  0.039; -0.178; -0.984
-3.126; -0.154; -1.000;  0.988; -0.016; -0.154; -0.209;  0.014; -0.069; -0.998
-3.097;  0.050; -0.999;  0.999; -0.045;  0.050; -0.209; -0.015;  0.047; -0.999
-3.038;  0.234; -0.995;  0.973; -0.103;  0.232; -0.203; -0.047;  0.168; -0.986
-2.914;  0.426; -0.974;  0.911; -0.226;  0.413; -0.185; -0.089;  0.321; -0.947
-2.738;  0.613; -0.920;  0.818; -0.393;  0.575; -0.150; -0.133;  0.487; -0.874
-2.557;  0.815; -0.834;  0.686; -0.552;  0.728; -0.102; -0.164;  0.644; -0.765
-2.412;  0.999; -0.745;  0.541; -0.667;  0.841; -0.057; -0.175;  0.761; -0.649
