j0; j1; j2; cos(j0); cos(j1); cos(j2); sin(j0); sin(j1); sin(j2); ee_x; ee_y; ee_qw; ee_qz
-0.053; -0.014; -0.082;  0.999;  1.000;  0.997; -0.053; -0.014; -0.081;  0.308; -0.028;  0.997; -0.074
-0.074; -0.020; -0.114;  0.997;  1.000;  0.994; -0.074; -0.020; -0.114;  0.307; -0.039;  0.995; -0.104
-0.108; -0.008; -0.149;  0.994;  1.000;  0.989; -0.108; -0.008; -0.148;  0.305; -0.051;  0.991; -0.132
-0.148; -0.006; -0.162;  0.989;  1.000;  0.987; -0.147; -0.006; -0.161;  0.302; -0.064;  0.988; -0.157
-0.193; -0.054; -0.171;  0.981;  0.999;  0.985; -0.192; -0.054; -0.170;  0.296; -0.088;  0.978; -0.207
-0.198; -0.130; -0.170;  0.980;  0.992;  0.986; -0.197; -0.129; -0.170;  0.289; -0.105;  0.969; -0.247
-0.151; -0.204; -0.152;  0.989;  0.979;  0.988; -0.150; -0.202; -0.151;  0.289; -0.103;  0.968; -0.251
-0.083; -0.237; -0.142;  0.997;  0.972;  0.990; -0.083; -0.235; -0.142;  0.293; -0.089;  0.973; -0.229
-0.008; -0.272; -0.123;  1.000;  0.963;  0.992; -0.008; -0.269; -0.123;  0.297; -0.071;  0.980; -0.200
 0.069; -0.368; -0.035;  0.998;  0.933;  0.999;  0.069; -0.360; -0.035;  0.299; -0.059;  0.986; -0.167
 0.172; -0.514;  0.068;  0.985;  0.871;  0.998;  0.171; -0.491;  0.068;  0.299; -0.046;  0.991; -0.136
 0.282; -0.686;  0.153;  0.960;  0.774;  0.988;  0.279; -0.633;  0.153;  0.295; -0.039;  0.992; -0.125
 0.349; -0.876;  0.216;  0.940;  0.640;  0.977;  0.342; -0.768;  0.215;  0.285; -0.050;  0.988; -0.155
 0.368; -1.105;  0.298;  0.933;  0.449;  0.956;  0.360; -0.893;  0.293;  0.267; -0.078;  0.976; -0.218
 0.330; -1.330;  0.448;  0.946;  0.238;  0.901;  0.324; -0.971;  0.433;  0.242; -0.110;  0.962; -0.273
 0.278; -1.511;  0.611;  0.962;  0.060;  0.819;  0.274; -0.998;  0.573;  0.219; -0.131;  0.952; -0.307
 0.210; -1.639;  0.735;  0.978; -0.068;  0.742;  0.208; -0.998;  0.671;  0.197; -0.149;  0.940; -0.340
 0.152; -1.704;  0.870;  0.989; -0.133;  0.645;  0.151; -0.991;  0.764;  0.186; -0.154;  0.942; -0.335
 0.121; -1.752;  1.029;  0.993; -0.180;  0.516;  0.121; -0.984;  0.857;  0.184; -0.150;  0.955; -0.296
 0.056; -1.810;  1.150;  0.998; -0.237;  0.408;  0.056; -0.972;  0.913;  0.172; -0.155;  0.955; -0.297
-0.022; -1.826;  1.235;  1.000; -0.253;  0.329; -0.022; -0.967;  0.944;  0.162; -0.162;  0.953; -0.302
-0.083; -1.819;  1.338;  0.997; -0.245;  0.230; -0.083; -0.969;  0.973;  0.160; -0.162;  0.961; -0.278
-0.098; -1.773;  1.459;  0.995; -0.201;  0.111; -0.098; -0.980;  0.994;  0.171; -0.149;  0.979; -0.205
-0.078; -1.706;  1.580;  0.997; -0.134; -0.009; -0.078; -0.991;  1.000;  0.186; -0.128;  0.995; -0.102
-0.072; -1.642;  1.698;  0.997; -0.071; -0.127; -0.072; -0.997;  0.992;  0.196; -0.108;  1.000; -0.008
-0.041; -1.576;  1.838;  0.999; -0.005; -0.264; -0.041; -1.000;  0.965;  0.203; -0.080;  0.994;  0.110
 0.015; -1.513;  1.877;  1.000;  0.058; -0.301;  0.015; -0.998;  0.954;  0.209; -0.057;  0.982;  0.190
 0.100; -1.460;  1.852;  0.995;  0.111; -0.277;  0.100; -0.994;  0.961;  0.217; -0.036;  0.970;  0.244
 0.212; -1.447;  1.815;  0.978;  0.123; -0.242;  0.210; -0.992;  0.970;  0.223; -0.013;  0.958;  0.286
 0.286; -1.451;  1.771;  0.959;  0.119; -0.199;  0.282; -0.993;  0.980;  0.226; -0.001;  0.954;  0.298
 0.359; -1.444;  1.721;  0.936;  0.126; -0.150;  0.352; -0.992;  0.989;  0.229;  0.012;  0.950;  0.313
 0.430; -1.439;  1.641;  0.909;  0.131; -0.070;  0.417; -0.991;  0.998;  0.233;  0.022;  0.950;  0.311
 0.474; -1.461;  1.535;  0.890;  0.110;  0.036;  0.456; -0.994;  0.999;  0.238;  0.019;  0.963;  0.270
 0.550; -1.510;  1.460;  0.853;  0.061;  0.110;  0.523; -0.998;  0.994;  0.239;  0.023;  0.969;  0.248
 0.643; -1.540;  1.450;  0.800;  0.030;  0.121;  0.600; -1.000;  0.993;  0.236;  0.040;  0.962;  0.273
 0.743; -1.514;  1.473;  0.736;  0.057;  0.097;  0.677; -0.998;  0.995;  0.229;  0.069;  0.939;  0.344
 0.874; -1.471;  1.517;  0.642;  0.100;  0.054;  0.767; -0.995;  0.999;  0.214;  0.108;  0.896;  0.444
 1.050; -1.434;  1.606;  0.497;  0.137; -0.035;  0.868; -0.991;  0.999;  0.180;  0.153;  0.819;  0.574
 1.223; -1.402;  1.717;  0.341;  0.168; -0.146;  0.940; -0.986;  0.989;  0.136;  0.186;  0.719;  0.695
 1.387; -1.420;  1.780;  0.183;  0.150; -0.207;  0.983; -0.989;  0.978;  0.099;  0.203;  0.642;  0.766
 1.579; -1.443;  1.784; -0.008;  0.127; -0.212;  1.000; -0.992;  0.977;  0.061;  0.217;  0.573;  0.819
 1.801; -1.445;  1.760; -0.228;  0.126; -0.188;  0.974; -0.992;  0.982;  0.014;  0.226;  0.491;  0.871
 2.041; -1.467;  1.707; -0.453;  0.104; -0.136;  0.892; -0.995;  0.991; -0.033;  0.227;  0.417;  0.909
 2.301; -1.522;  1.594; -0.667;  0.048; -0.023;  0.745; -0.999;  1.000; -0.074;  0.221;  0.375;  0.927
 2.624; -1.569;  1.408; -0.869;  0.002;  0.162;  0.495; -1.000;  0.987; -0.123;  0.206;  0.333;  0.943
 2.966; -1.571;  1.153; -0.985;  0.000;  0.406;  0.174; -1.000;  0.914; -0.172;  0.177;  0.292;  0.956
 3.254; -1.575;  0.848; -0.994; -0.004;  0.662; -0.112; -1.000;  0.750; -0.193;  0.161;  0.325;  0.946
 3.267; -1.562;  0.564; -0.992;  0.009;  0.845; -0.125; -1.000;  0.535; -0.184;  0.170;  0.420;  0.907
 3.219; -1.519;  0.353; -0.997;  0.052;  0.938; -0.078; -0.999;  0.346; -0.164;  0.189;  0.517;  0.856
 3.182; -1.443;  0.186; -0.999;  0.127;  0.983; -0.041; -0.992;  0.185; -0.155;  0.198;  0.571;  0.821
 3.146; -1.322;  0.035; -1.000;  0.246;  0.999; -0.004; -0.969;  0.035; -0.156;  0.202;  0.599;  0.801
 3.071; -1.188; -0.131; -0.997;  0.373;  0.991;  0.071; -0.928; -0.131; -0.150;  0.210;  0.641;  0.768
 2.962; -1.084; -0.296; -0.984;  0.468;  0.957;  0.179; -0.884; -0.291; -0.130;  0.223;  0.703;  0.711
 2.872; -0.986; -0.452; -0.964;  0.552;  0.900;  0.267; -0.834; -0.437; -0.112;  0.231;  0.754;  0.657
 2.773; -0.892; -0.601; -0.933;  0.628;  0.825;  0.360; -0.778; -0.565; -0.092;  0.237;  0.802;  0.597
 2.641; -0.867; -0.724; -0.877;  0.647;  0.749;  0.480; -0.763; -0.663; -0.053;  0.241;  0.866;  0.501
 2.478; -0.901; -0.831; -0.788;  0.621;  0.674;  0.616; -0.784; -0.739;  0.001;  0.236;  0.931;  0.364
 2.259; -0.957; -0.945; -0.635;  0.576;  0.586;  0.772; -0.818; -0.811;  0.066;  0.212;  0.984;  0.178
 2.017; -1.048; -1.049; -0.432;  0.499;  0.498;  0.902; -0.866; -0.867;  0.123;  0.164;  0.999; -0.040
 1.813; -1.199; -1.118; -0.240;  0.363;  0.438;  0.971; -0.932; -0.899;  0.154;  0.102;  0.968; -0.249
 1.605; -1.335; -1.180; -0.034;  0.233;  0.381;  0.999; -0.972; -0.925;  0.160;  0.040;  0.898; -0.439
 1.379; -1.460; -1.257;  0.191;  0.110;  0.309;  0.982; -0.994; -0.951;  0.144; -0.017;  0.784; -0.620
 1.149; -1.629; -1.356;  0.409; -0.058;  0.213;  0.912; -0.998; -0.977;  0.101; -0.061;  0.608; -0.794
 0.905; -1.821; -1.496;  0.617; -0.248;  0.074;  0.787; -0.969; -0.997;  0.041; -0.074;  0.357; -0.934
 0.701; -1.876; -1.660;  0.764; -0.300; -0.089;  0.645; -0.954; -0.996;  0.010; -0.061;  0.151; -0.989
 0.571; -1.854; -1.838;  0.841; -0.279; -0.265;  0.540; -0.960; -0.964;  0.002; -0.044;  0.010; -1.000
 0.519; -1.830; -1.888;  0.868; -0.256; -0.312;  0.496; -0.967; -0.950;  0.003; -0.040; -0.031; -1.000
 0.518; -1.816; -1.860;  0.869; -0.242; -0.285;  0.495; -0.970; -0.959;  0.004; -0.045; -0.008; -1.000
 0.548; -1.805; -1.833;  0.853; -0.232; -0.259;  0.521; -0.973; -0.966;  0.006; -0.049;  0.026; -1.000
 0.587; -1.801; -1.773;  0.832; -0.228; -0.201;  0.554; -0.974; -0.980;  0.010; -0.055;  0.078; -0.997
 0.586; -1.790; -1.684;  0.833; -0.217; -0.113;  0.553; -0.976; -0.994;  0.013; -0.066;  0.127; -0.992
 0.529; -1.789; -1.587;  0.863; -0.217; -0.016;  0.505; -0.976; -1.000;  0.012; -0.077;  0.147; -0.989
 0.414; -1.815; -1.455;  0.915; -0.241;  0.116;  0.403; -0.970; -0.993;  0.003; -0.089;  0.142; -0.990
 0.255; -1.815; -1.285;  0.968; -0.242;  0.282;  0.253; -0.970; -0.960; -0.007; -0.107;  0.148; -0.989
 0.046; -1.810; -1.111;  0.999; -0.237;  0.443;  0.046; -0.972; -0.896; -0.025; -0.122;  0.133; -0.991
-0.205; -1.788; -0.988;  0.979; -0.215;  0.550; -0.204; -0.977; -0.835; -0.052; -0.129;  0.080; -0.997
-0.485; -1.779; -0.938;  0.885; -0.207;  0.592; -0.466; -0.978; -0.806; -0.085; -0.117; -0.030; -1.000
-0.783; -1.786; -0.888;  0.709; -0.213;  0.631; -0.705; -0.977; -0.776; -0.118; -0.091; -0.157; -0.988
-1.067; -1.760; -0.828;  0.482; -0.188;  0.677; -0.876; -0.982; -0.736; -0.143; -0.064; -0.254; -0.967
