j0; j1; j2; j3; j4; cos(j0); cos(j1); cos(j2); cos(j3); cos(j4); sin(j0); sin(j1); sin(j2); sin(j3); sin(j4); ee_x; ee_y; ee_z; ee_qw; ee_qx; ee_qy; ee_qz
 0.000;  0.000;  0.000;  0.000;  0.000;  1.000;  1.000;  1.000;  1.000;  1.000;  0.000;  0.000;  0.000;  0.000;  0.000;  0.000;  0.000;  0.590;  1.000;  0.000;  0.000;  0.000
 0.016; -0.014; -0.029; -0.014;  0.034;  1.000;  1.000;  1.000;  1.000;  0.999;  0.016; -0.014; -0.029; -0.014;  0.034; -0.020; -0.004;  0.589;  0.999;  0.017; -0.028;  0.008
 0.070; -0.079; -0.111; -0.057;  0.137;  0.998;  0.997;  0.994;  0.998;  0.991;  0.070; -0.079; -0.111; -0.057;  0.136; -0.085; -0.022;  0.579;  0.989;  0.072; -0.121;  0.043
 0.138; -0.207; -0.185; -0.083;  0.257;  0.991;  0.979;  0.983;  0.997;  0.967;  0.137; -0.205; -0.184; -0.083;  0.254; -0.164; -0.054;  0.550;  0.960;  0.140; -0.224;  0.096
 0.185; -0.337; -0.249; -0.053;  0.355;  0.983;  0.944;  0.969;  0.999;  0.938;  0.184; -0.330; -0.246; -0.053;  0.347; -0.221; -0.084;  0.513;  0.925;  0.195; -0.292;  0.142
 0.232; -0.414; -0.367; -0.014;  0.468;  0.973;  0.916;  0.934;  1.000;  0.892;  0.230; -0.402; -0.359; -0.014;  0.451; -0.260; -0.117;  0.469;  0.881;  0.256; -0.349;  0.193
 0.297; -0.489; -0.489;  0.049;  0.562;  0.956;  0.883;  0.883;  0.999;  0.846;  0.293; -0.470; -0.470;  0.049;  0.533; -0.284; -0.154;  0.423;  0.831;  0.309; -0.389;  0.250
 0.363; -0.606; -0.546;  0.112;  0.644;  0.935;  0.822;  0.854;  0.994;  0.800;  0.355; -0.570; -0.520;  0.112;  0.600; -0.297; -0.190;  0.377;  0.781;  0.355; -0.414;  0.303
 0.402; -0.765; -0.573;  0.121;  0.757;  0.920;  0.721;  0.840;  0.993;  0.727;  0.391; -0.693; -0.543;  0.121;  0.686; -0.311; -0.222;  0.310;  0.705;  0.403; -0.460;  0.359
 0.379; -0.914; -0.611;  0.125;  0.857;  0.929;  0.611;  0.819;  0.992;  0.655;  0.370; -0.792; -0.573;  0.125;  0.756; -0.327; -0.228;  0.240;  0.633;  0.423; -0.515;  0.394
 0.341; -0.996; -0.620;  0.150;  0.915;  0.942;  0.544;  0.814;  0.989;  0.610;  0.335; -0.839; -0.581;  0.150;  0.793; -0.335; -0.220;  0.210;  0.607;  0.425; -0.536;  0.405
 0.299; -1.085; -0.583;  0.217;  0.908;  0.956;  0.467;  0.835;  0.977;  0.615;  0.295; -0.884; -0.551;  0.215;  0.789; -0.349; -0.207;  0.198;  0.621;  0.413; -0.541;  0.388
 0.225; -1.176; -0.513;  0.284;  0.868;  0.975;  0.384;  0.871;  0.960;  0.647;  0.223; -0.923; -0.490;  0.280;  0.763; -0.370; -0.179;  0.196;  0.658;  0.385; -0.547;  0.348
 0.187; -1.243; -0.407;  0.300;  0.827;  0.983;  0.322;  0.918;  0.955;  0.677;  0.186; -0.947; -0.396;  0.296;  0.736; -0.382; -0.162;  0.205;  0.688;  0.366; -0.540;  0.317
 0.153; -1.309; -0.270;  0.293;  0.755;  0.988;  0.259;  0.964;  0.957;  0.728;  0.153; -0.966; -0.267;  0.289;  0.685; -0.393; -0.144;  0.220;  0.725;  0.337; -0.533;  0.277
 0.095; -1.344; -0.114;  0.287;  0.673;  0.996;  0.225;  0.994;  0.959;  0.782;  0.094; -0.974; -0.113;  0.283;  0.624; -0.400; -0.113;  0.253;  0.777;  0.300; -0.508;  0.220
 0.025; -1.347;  0.045;  0.294;  0.612;  1.000;  0.222;  0.999;  0.957;  0.818;  0.025; -0.975;  0.045;  0.290;  0.575; -0.392; -0.079;  0.303;  0.833;  0.270; -0.457;  0.156
-0.049; -1.359;  0.236;  0.307;  0.573;  0.999;  0.211;  0.972;  0.953;  0.840; -0.049; -0.978;  0.234;  0.303;  0.542; -0.367; -0.047;  0.354;  0.883;  0.250; -0.387;  0.090
-0.079; -1.429;  0.495;  0.281;  0.565;  0.997;  0.141;  0.880;  0.961;  0.845; -0.079; -0.990;  0.475;  0.278;  0.535; -0.333; -0.038;  0.388;  0.913;  0.252; -0.318;  0.053
-0.098; -1.522;  0.824;  0.193;  0.608;  0.995;  0.049;  0.679;  0.981;  0.821; -0.098; -0.999;  0.734;  0.192;  0.572; -0.289; -0.040;  0.412;  0.926;  0.278; -0.252;  0.029
